unique_num,campain_code,customer_code,customer_name,brand_code,brand_name,pro_code,pro_name,encrypt_procode,decrypt_procode,url
27,14_2_1,14,"NHN Wetoo
가방팝",2,르무통,1,1. 메리노 울 스니커즈 클래식 베이지,MTQ3MDQzMw,1470433,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDQzMw&aid=14_2_1_[DATE]&mid=TMS&rid=[SEQ]
27,14_2_1,14,"NHN Wetoo
가방팝",2,르무통,1,2. 메리노 울 스니커즈 클래식 다크그레이,MTQ3MDQzMw,1470433,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDQzMw&aid=14_2_1_[DATE]&mid=TMS&rid=[SEQ]
27,14_2_1,14,"NHN Wetoo
가방팝",2,르무통,1,3. 메리노 울 스니커즈 클래식 네이비,MTQ3MDQzMw,1470433,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDQzMw&aid=14_2_1_[DATE]&mid=TMS&rid=[SEQ]
27,14_2_1,14,"NHN Wetoo
가방팝",2,르무통,1,4. 메리노 울 슬립온 스타일 베이지,MTQ3MDQzMw,1470433,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDQzMw&aid=14_2_1_[DATE]&mid=TMS&rid=[SEQ]
27,14_2_1,14,"NHN Wetoo
가방팝",2,르무통,1,5. 메리노 울 슬립온 스타일 다크그레이,MTQ3MDQzMw,1470433,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDQzMw&aid=14_2_1_[DATE]&mid=TMS&rid=[SEQ]
27,14_2_1,14,"NHN Wetoo
가방팝",2,르무통,1,6. 메리노 울 슬립온 스타일 블랙(화이트아웃솔),MTQ3MDQzMw,1470433,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDQzMw&aid=14_2_1_[DATE]&mid=TMS&rid=[SEQ]
50,14_3_1,14,"NHN Wetoo
가방팝",3,라이프썸,1,무선 미니 고데기(LFS-HA07),MTQ3MDU5MA,1470590,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDU5MA&aid=14_3_1_[DATE]&mid=TMS&rid=[SEQ]
50,14_3_2,14,"NHN Wetoo
가방팝",3,라이프썸,2,무드등 미니 가습기(LFS-HA08),MTQ3MDU1Mw,1470553,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDU1Mw&aid=14_3_2_[DATE]&mid=TMS&rid=[SEQ]
50,14_3_3,14,"NHN Wetoo
가방팝",3,라이프썸,3,핸디형 퀵 스팀다리미(LFS-HA09),MTQ3MDU5MQ,1470591,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDU5MQ&aid=14_3_3_[DATE]&mid=TMS&rid=[SEQ]
50,14_3_4,14,"NHN Wetoo
가방팝",3,라이프썸,4,고속 무선 충전 보조배터리 20000(LFS-HA16),MTQ3MDU5Mg,1470592,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDU5Mg&aid=14_3_4_[DATE]&mid=TMS&rid=[SEQ]
50,14_3_5,14,"NHN Wetoo
가방팝",3,라이프썸,5,휴대용 공기청정기(LFS-HA03),MTQ3MDU5Mw,1470593,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDU5Mw&aid=14_3_5_[DATE]&mid=TMS&rid=[SEQ]
28,15_1_1,15,JK인터내셔날,1,레고코리아,1,1. 76898_포뮬라 E 파나소닉 재규어 레이싱 GEN2 & 재규어 I-PACE 이트로피,MTQ3MDQ3NA,1470474,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDQ3NA&aid=15_1_1_[DATE]&mid=TMS&rid=[SEQ]
